Region;Departamento;Cultivo;RC
orinoquia;Meta;Maní;0.8
pacifica;Nariño;Maní;0.8
pacifica;Valle del Cauca;Maní;0.8
orinoquia;Arauca;Maní;0.8
orinoquia;Casanare;Maní;0.8
amazonia;Putumayo;Maní;0.8
amazonia;Amazonas;Maní;0.8
amazonia;Guainía;Maní;0.8
amazonia;Guaviare;Maní;0.8
amazonia;Vaupés;Maní;0.8
orinoquia;Vichada;Maní;0.8
general;Otro;Maní;0.8
amazonia;Caquetá;Soya;2.28
pacifica;Cauca;Soya;2.28
pacifica;Chocó;Soya;2.28
orinoquia;Meta;Soya;2.75
pacifica;Nariño;Soya;2.28
pacifica;Valle del Cauca;Soya;2.75
orinoquia;Arauca;Soya;2.28
orinoquia;Casanare;Soya;2.28
amazonia;Putumayo;Soya;2.28
amazonia;Amazonas;Soya;2.28
amazonia;Guainía;Soya;2.28
amazonia;Guaviare;Soya;2.28
amazonia;Vaupés;Soya;2.28
orinoquia;Vichada;Soya;2.28
general;Otro;Soya;2.28
amazonia;Caquetá;Trigo;2.5
pacifica;Cauca;Trigo;2.5
pacifica;Chocó;Trigo;2.5
orinoquia;Meta;Trigo;2.5
pacifica;Nariño;Trigo;2.15
pacifica;Valle del Cauca;Trigo;2.5
orinoquia;Arauca;Trigo;2.5
orinoquia;Casanare;Trigo;2.5
amazonia;Putumayo;Trigo;2.5
amazonia;Amazonas;Trigo;2.5
amazonia;Guainía;Trigo;2.5
amazonia;Guaviare;Trigo;2.5
amazonia;Vaupés;Trigo;2.5
orinoquia;Vichada;Trigo;2.5
general;Otro;Trigo;2.5
amazonia;Caquetá;Yuca;7.18
pacifica;Cauca;Yuca;12.09
pacifica;Chocó;Yuca;9.72
orinoquia;Meta;Yuca;19.76
pacifica;Nariño;Yuca;8.29
pacifica;Valle del Cauca;Yuca;16.43
orinoquia;Arauca;Yuca;19.86
orinoquia;Casanare;Yuca;13.59
amazonia;Putumayo;Yuca;6.34
amazonia;Amazonas;Yuca;6.74
amazonia;Guainía;Yuca;10
amazonia;Guaviare;Yuca;13
amazonia;Vaupés;Yuca;5.87
orinoquia;Vichada;Yuca;11.01
general;Otro;Yuca;11.34
amazonia;Caquetá;Algodón;0.97
pacifica;Cauca;Algodón;0.97
pacifica;Chocó;Algodón;0.97
orinoquia;Meta;Algodón;0.97
pacifica;Nariño;Algodón;0.97
pacifica;Valle del Cauca;Algodón;1.05
orinoquia;Arauca;Algodón;0.97
orinoquia;Casanare;Algodón;0.97
amazonia;Putumayo;Algodón;0.97
amazonia;Amazonas;Algodón;0.97
amazonia;Guainía;Algodón;0.97
amazonia;Guaviare;Algodón;0.97
amazonia;Vaupés;Algodón;0.97
orinoquia;Vichada;Algodón;0.74
general;Otro;Algodón;0.97
amazonia;Caquetá;Coco;7.2
pacifica;Cauca;Coco;9
pacifica;Chocó;Coco;12
orinoquia;Meta;Coco;7.2
pacifica;Nariño;Coco;7
pacifica;Valle del Cauca;Coco;7.2
orinoquia;Arauca;Coco;7.2
orinoquia;Casanare;Coco;7.2
amazonia;Putumayo;Coco;7.2
amazonia;Amazonas;Coco;7.2
amazonia;Guainía;Coco;7.2
amazonia;Guaviare;Coco;7.2
amazonia;Vaupés;Coco;7.2
orinoquia;Vichada;Coco;7.2
general;Otro;Coco;7.2
